variable,coefficient,p_values,significance
cruz,-0.273415180993386,0.23431253201099866,
current,0.0985939817371214,0.23699041524776188,
cut,-0.06967734733480703,0.5212064729629338,
day,0.24330843536477778,0.005290952988167029,**
deal,-0.03718056416633132,0.5020481800160493,
death,0.05250914307361289,0.3879335360457461,
debat,-0.6589974921520665,7.14625757444482e-11,***
decad,-0.03806533019045809,0.7752987517840376,
decid,-0.11831307896028445,0.05483504035553818,.
decis,0.0,0.8998782834802309,
declar,-0.2084541971923171,0.016256988943734244,*
defend,0.022485733943823128,0.8285503913213181,
defens,0.006924968727072535,0.870599278596747,
democrat,-0.03255898469127114,0.6157937771080457,
depart,-0.17575924988810446,0.009212546607746779,**
describ,-0.14589332944571246,0.1101563422610951,
despit,-0.19955942341640584,0.008464395069212887,**
detail,-0.2134487871214312,0.010692049237503123,*
develop,0.12380158548963854,0.05185669728917796,.
differ,-0.242983106361244,0.0016403204451145824,**
direct,0.14858221176012923,0.11442736810792274,
director,0.0900521261362918,0.3234055121305479,
discuss,0.17883050994849012,0.10010373083889001,
donald,0.16659927995721555,0.6122128183122753,
donald trump,0.1558725851626055,0.6410774274542487,
done,-0.25900150633440017,0.010238309278366444,*
earli,0.08754962379038435,0.22181634016153184,
earlier,0.0,0.8971116803015504,
econom,0.21894150343926594,0.004591440211041068,**
effect,0.11585487747085284,0.2048955594134777,
effort,-0.08528184784543769,0.2698822218707999,
either,-0.1614855721541319,0.15267584022711167,
elect,0.4614454819585585,1.0958442098530377e-06,***
email,0.46387052004193213,2.1446832052083807e-08,***
end,0.18926048647916033,0.015667845912733073,*
enough,-0.011966096864653063,0.9083263801590774,
entir,0.006098763221126204,0.9466001199185139,
especi,0.12585511190022244,0.17100975654778616,
establish,0.40753387737326197,5.831987177273752e-06,***
even,0.029637822178543667,0.4442476005032583,
event,0.04916217734131273,0.6206679015225127,
ever,0.02296832099487019,0.9793589283205127,
everi,0.01638536055512249,0.7142931097951737,
everyon,0.13359887335731285,0.10784529895441525,
everyth,-0.17203235670410133,0.055033722423990065,.
evid,0.18250236757018495,0.0022350812175992237,**
exampl,-0.08232506520234498,0.3397621913848865,
execut,-0.052204524652404306,0.3284395097471673,
exist,0.3411557331664637,6.574521425776672e-05,***
expect,-0.2071290940272262,0.003752161401020318,**
explain,-0.04921020812827272,0.3662481223926102,
express,-0.19250015174774124,0.006996202289726037,**
face,0.12329149690657536,0.13980188511280428,
fact,0.011993749872959017,0.8344419606131057,
fail,0.0,0.999486891788515,
fall,-0.08895186814440706,0.46342857459779685,
famili,-0.07242810617218859,0.15826310417848588,
far,-0.19927835305890326,0.012614701381492434,*
favor,0.13284727817705336,0.2240620906362384,
fbi,0.20759756547744823,0.002652841136058615,**
fear,0.20759260800159077,0.002391238239960303,**
feder,-0.02188984005061467,0.7716543531094029,
feel,0.0,0.9822147409986418,
fight,0.14329554821399343,0.0603249184507222,.
figur,-0.15397352671610354,0.061262866112661,.
final,0.11762081561776339,0.08441874730503245,.
find,0.03407820798457913,0.47726226132272975,
fire,0.07177143357588377,0.35365464091374665,
first,-0.14490642920315103,0.029150216586474403,*
five,-0.34849176555681155,6.258414913404544e-05,***
florida,0.1457600956341571,0.14074375780710427,
focus,-0.08745132590228015,0.27996151407263714,
follow,0.2840445468529802,0.001016904870776017,**
forc,0.07508585638025654,0.39370030813798296,
foreign,-0.19516098598551493,0.022182938538257663,*
form,0.305017674802657,0.00031995957481244865,***
former,-0.07368656732192627,0.7344000411305568,
forward,0.17354116743372527,0.030712008059663166,*
found,-0.11728102821282095,0.05738691072026237,.
four,-0.04183377169071289,0.7608030002484589,
fox,-0.4658662834889128,8.747092236311839e-07,***
free,-0.002361976021486916,0.9565623627943433,
friday,-0.35428663513047204,3.570393076392411e-05,***
friend,0.07748894635044094,0.19411755962156052,
front,-0.40354388660711404,4.318172342241973e-06,***
full,0.10965559001149933,0.10842121293905599,
fund,0.06094308258924386,0.3414549905108182,
futur,0.04525136938704881,0.531645026366219,
general,-0.013876154232573181,0.8295761255458276,
get,0.11374661037572721,0.05510532589149663,.
give,-0.05047764119646053,0.2927270697972695,
given,0.10380350330894722,0.13269003627347423,
go,0.03357640325972764,0.8237442259678663,
good,0.3003061075529591,0.00011509970023681652,***
gop,-0.33659359554727136,0.0059014914349021915,**
got,0.19329611836566507,0.011583254764424565,*
govern,0.0015458417959153304,0.8764836415332489,
governor,-0.15060232560232847,0.041089039462296424,*
great,0.16822969950206854,0.04962833263567296,*
ground,0.05132163331766467,0.3058309071928529,
group,-0.20238106053426058,0.004361603323954769,**
grow,-0.05520295932470035,0.6121472276319899,
half,-0.2818700784882233,0.0013366961862149764,**
hand,0.04246322889730537,0.8333911137326577,
happen,-0.0837747807090278,0.3503871455184445,
hard,0.013461879273715916,0.8836445485088669,
head,0.23052386331766578,0.02318659234414846,*
health,0.1782852413230476,0.009186459900091851,**
hear,-0.039068977675859554,0.4372106877355354,
held,-0.024657559622332372,0.530154606775618,
help,0.0,0.9794516593831983,
high,0.035887167281515094,0.9578946936563589,
hillari,0.7162867426136312,3.925751887700073e-05,***
hillari clinton,0.03269400951036921,0.617391566499386,
histori,0.07334556607581971,0.4292363592366687,
hit,0.058649681250846845,0.8131680321472775,
hold,0.0798375989601847,0.23052606757530503,
home,0.08860018292292662,0.30135107793526095,
hope,-0.1847042248599339,0.012287648852986272,*
hour,0.01497625829684323,0.8646307901928094,
hous,0.0,0.47166158952539405,
howev,0.45087993790457975,2.8206913376532155e-07,***
human,0.2969400047919683,0.00023400010760069782,***
idea,0.12400285270531212,0.11928146439266736,
immedi,0.14922852759292124,0.03606777794762936,*
immigr,0.17039951445174828,0.012313449505133271,*
import,0.08224574902988391,0.12660633909723143,
includ,-0.2111768886112754,0.010408385500621668,*
increas,0.047239959320912524,0.5728096295741572,
independ,-0.017021814947890353,0.6205979921663356,
inform,-0.1801501598117738,0.00777500227015566,**
instead,-0.2000967162504059,0.021650432212115333,*
institut,-0.21322276029093165,0.006242705337342765,**
interest,0.0766222625058549,0.29173603474113563,
intern,0.14908867951345353,0.056097169443343385,.
interview,-0.14217684602288627,0.04177212790015863,*
investig,-0.0397216960510914,0.47637256256763283,
involv,-0.08203545948451636,0.25667830463224095,
issu,-0.2598567436864574,0.0023327791794333142,**
job,-0.21087212962380725,0.0011243234674819266,**
john,0.08715572394608884,0.27572880090088003,
join,0.0,0.8286593405628636,
justic,0.03093278239554541,0.9840477818912595,
keep,-0.003724057316237188,0.8479471449849154,
key,-0.26290934245687864,0.01245843169006765,*
kill,-0.07002277462563022,0.24413063657312506,
kind,-0.15711132359168015,0.26279038449555137,
know,0.15370181276208814,0.03953712142868833,*
known,-0.05175312225739595,0.32184250768388656,
larg,0.0,0.9429934657401848,
last,-0.09926019471762972,0.2747268705212599,
last week,-0.08937820425325148,0.4254402319189591,
late,0.0379779021948806,0.7587554964832488,
later,-0.2841602497704211,0.00027828469699603934,***
latest,0.05514512880458697,0.2393318546012555,
law,-0.3004869192721228,1.973747781357651e-06,***
lead,-0.024046548299968832,0.8919918985993412,
leader,0.009270938672659632,0.9677832123563246,
learn,0.02840797264755142,0.6713873469634293,
least,0.023138656258049593,0.8198653701755891,
leav,0.1379874625904325,0.04945602709937895,*
led,0.19781554079657063,0.0065766008208902925,**
left,-0.22131070608769066,0.0020091784621947377,**
legal,0.12909399512346542,0.11875615072006421,
less,-0.1624159628165567,0.14338343783433471,
let,0.09503509779651692,0.17608431890134146,
